grid_id,cx,cy,max_rank,max_depth_cm,flood_ratio,exposure,priority
G02174,126.964161,37.389107,1.0,20.0,0.8788,1.0788,1.0788
G03128,126.969814,37.400818,2.0,40.0,0.6766,1.0766,1.0766
G01780,126.931368,37.384602,2.0,40.0,0.6763,1.0763,1.0763
G01608,126.901967,37.3828,4.0,100.0,0.2716,1.0716,1.0716
G02509,126.930237,37.393611,3.0,60.0,0.4714,1.0714,1.0714
G03883,126.915536,37.410728,4.0,100.0,0.2713,1.0713,1.0713
G03402,126.94946,37.404422,2.0,40.0,0.6692,1.0692,1.0692
G03482,126.957376,37.405323,1.0,20.0,0.8692,1.0692,1.0692
G03086,126.922321,37.400818,1.0,20.0,0.8675,1.0675,1.0675
G01758,126.90649,37.384602,3.0,60.0,0.463,1.063,1.063
G03445,126.915536,37.405323,1.0,20.0,0.8608,1.0608,1.0608
G02491,126.909883,37.393611,3.0,60.0,0.4591,1.0591,1.0591
G02734,126.937022,37.396314,2.0,40.0,0.6566,1.0566,1.0566
G03522,126.92006,37.406224,3.0,60.0,0.4506,1.0506,1.0506
G02664,126.940414,37.395413,3.0,60.0,0.4499,1.0499,1.0499
G02943,126.925714,37.399016,3.0,60.0,0.4491,1.0491,1.0491
G03268,126.96303,37.40262,1.0,20.0,0.8464,1.0464,1.0464
G02692,126.972076,37.395413,2.0,40.0,0.6444,1.0444,1.0444
G02417,126.908752,37.39271,3.0,60.0,0.4438,1.0438,1.0438
G03596,126.92119,37.407125,4.0,100.0,0.2433,1.0433,1.0433
G04175,126.915536,37.414332,3.0,60.0,0.435,1.035,1.035
G02358,126.924583,37.391809,2.0,40.0,0.6336,1.0336,1.0336
G04470,126.918929,37.417935,3.0,60.0,0.4332,1.0332,1.0332
G03584,126.907621,37.407125,4.0,100.0,0.2331,1.0331,1.0331
G03256,126.94946,37.40262,2.0,40.0,0.6313,1.0313,1.0313
G03543,126.943806,37.406224,3.0,60.0,0.426,1.026,1.026
G02470,126.968684,37.39271,2.0,40.0,0.6239,1.0239,1.0239
G03115,126.955114,37.400818,1.0,20.0,0.8146,1.0146,1.0146
G02075,126.93476,37.388206,2.0,40.0,0.6139,1.0139,1.0139
G03203,126.972076,37.401719,3.0,60.0,0.4121,1.0121,1.0121
G04101,126.914406,37.413431,3.0,60.0,0.4114,1.0114,1.0114
G03516,126.913275,37.406224,1.0,20.0,0.8098,1.0098,1.0098
G01487,126.930237,37.380998,2.0,40.0,0.6087,1.0087,1.0087
G03912,126.948329,37.410728,4.0,100.0,0.2085,1.0085,1.0085
G03242,126.933629,37.40262,1.0,20.0,0.8036,1.0036,1.0036
G02903,126.96303,37.398116,4.0,100.0,0.2006,1.0006,1.0006
G03511,126.907621,37.406224,3.0,60.0,0.4005,1.0005,1.0005
G03165,126.929106,37.401719,3.0,60.0,0.3992,0.9992,0.9992
G03443,126.913275,37.405323,2.0,40.0,0.5912,0.9912,0.9912
G00844,126.946068,37.37289,4.0,100.0,0.1905,0.9905,0.9905
G03702,126.958507,37.408025,2.0,40.0,0.587,0.987,0.987
G02652,126.926844,37.395413,3.0,60.0,0.3837,0.9837,0.9837
G03120,126.960768,37.400818,2.0,40.0,0.5816,0.9816,0.9816
G03047,126.960768,37.399917,2.0,40.0,0.5812,0.9812,0.9812
G02806,126.935891,37.397215,3.0,60.0,0.3802,0.9802,0.9802
G02728,126.930237,37.396314,3.0,60.0,0.3763,0.9763,0.9763
G03258,126.951722,37.40262,1.0,20.0,0.7753,0.9753,0.9753
G03020,126.930237,37.399917,2.0,40.0,0.574,0.974,0.974
G04318,126.912144,37.416134,3.0,60.0,0.3722,0.9722,0.9722
G02302,126.943806,37.390908,1.0,20.0,0.7702,0.9702,0.9702
G03441,126.911013,37.405323,2.0,40.0,0.5674,0.9674,0.9674
G03061,126.976599,37.399917,1.0,20.0,0.765,0.965,0.965
G01779,126.930237,37.384602,2.0,40.0,0.5643,0.9643,0.9643
G00845,126.947199,37.37289,2.0,40.0,0.5634,0.9634,0.9634
G02905,126.965291,37.398116,4.0,100.0,0.162,0.962,0.962
G02879,126.935891,37.398116,2.0,40.0,0.561,0.961,0.961
G02296,126.937022,37.390908,2.0,40.0,0.5562,0.9562,0.9562
G03518,126.915536,37.406224,1.0,20.0,0.7561,0.9561,0.9561
G02830,126.96303,37.397215,1.0,20.0,0.7536,0.9536,0.9536
G03015,126.924583,37.399917,2.0,40.0,0.5516,0.9516,0.9516
G02253,126.970945,37.390007,1.0,20.0,0.75,0.95,0.95
G02147,126.933629,37.389107,2.0,40.0,0.5475,0.9475,0.9475
G02807,126.937022,37.397215,1.0,20.0,0.7455,0.9455,0.9455
G03585,126.908752,37.407125,2.0,40.0,0.5443,0.9443,0.9443
G03841,126.950591,37.409827,2.0,40.0,0.542,0.942,0.942
G03254,126.947199,37.40262,2.0,40.0,0.5386,0.9386,0.9386
G02225,126.939283,37.390007,1.0,20.0,0.7365,0.9365,0.9365
G03269,126.964161,37.40262,1.0,20.0,0.7356,0.9356,0.9356
G01276,126.939283,37.378296,4.0,100.0,0.1356,0.9356,0.9356
G03729,126.90649,37.408926,2.0,40.0,0.5348,0.9348,0.9348
G03453,126.924583,37.405323,1.0,20.0,0.7319,0.9319,0.9319
G02418,126.909883,37.39271,2.0,40.0,0.5297,0.9297,0.9297
G02303,126.944937,37.390908,2.0,40.0,0.5291,0.9291,0.9291
G01704,126.927975,37.383701,2.0,40.0,0.5289,0.9289,0.9289
G03811,126.916667,37.409827,4.0,100.0,0.128,0.928,0.928
G04244,126.911013,37.415233,4.0,100.0,0.1265,0.9265,0.9265
G03180,126.946068,37.401719,1.0,20.0,0.7252,0.9252,0.9252
G02805,126.93476,37.397215,2.0,40.0,0.5251,0.9251,0.9251
G03619,126.947199,37.407125,1.0,20.0,0.7239,0.9239,0.9239
G02582,126.930237,37.394512,2.0,40.0,0.5213,0.9213,0.9213
G03259,126.952853,37.40262,1.0,20.0,0.7174,0.9174,0.9174
G01414,126.930237,37.380098,3.0,60.0,0.3172,0.9172,0.9172
G03541,126.941545,37.406224,3.0,60.0,0.3165,0.9165,0.9165
G02862,126.916667,37.398116,3.0,60.0,0.3158,0.9158,0.9158
G02357,126.923452,37.391809,3.0,60.0,0.3156,0.9156,0.9156
G02421,126.913275,37.39271,2.0,40.0,0.5148,0.9148,0.9148
G03110,126.94946,37.400818,2.0,40.0,0.5135,0.9135,0.9135
